Year,Survey question,Response,Grouping variable,Category,Value,Value Unit,Value Label,Null Reason,Metadata 1
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Age group,14-17,15.5,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Ethnic group,European,7.2,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Ethnic group,Māori,8.7,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Ethnic group,Pacific Peoples,9.1,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Ethnic group,Asian,8.8,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Ethnic group,Samoan,7.7,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Ethnic group,Indian,10.5,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Ethnic group,Chinese,7.7,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,School year groupings,Year 0-8,4.5,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,School year groupings,Year 9-13,13.5,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Lifestage,5-12,4.5,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Lifestage,13-17,13.8,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Disability status,Disabled,12.1,percentage,% of young people,,"When any of the above statements is rated 'Yes, some difficulty', 'Yes, a lot of difficulty', or 'Cannot do at all'"
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Disability status,Non-disabled,5.8,percentage,% of young people,,"When all of the above statements are rated 'No, no difficulty'"
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Disability status,"Disabled (rated 'Yes, a lot of difficulty' or Cannot do at all')",16.5,percentage,% of young people,,"When any of the above statements is rated 'Yes, a lot of difficulty', or 'Cannot do at all'"
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Disability status,"Non-disabled (rated 'Yes, some difficulty' or 'No, no difficulty')",7.4,percentage,% of young people,,"When all of the above statements are rated 'Yes, some difficulty' or 'No, no difficulty'"
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Neighbourhood deprivation,Low,6.6,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Neighbourhood deprivation,Medium,8.1,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Neighbourhood deprivation,High,10.5,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Participation in physical activities in the last 7 days,Participated last 7 days,0,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Participation in physical activities in the last 7 days,Not participated last 7 days,100,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Participation in physical activities in the last 7 days,Less than 30 minutes in last 7 days,94.6,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Participation in physical activities in the last 7 days,30-149 minutes in last 7 days,0,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Participation in physical activities in the last 7 days,150 to 419 minutes in last 7 days,0,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Participation in physical activities in the last 7 days,Meeting guidelines: 420 minutes or more in last 7 days,0,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Participation in physical activities in the last 7 days,Not meeting guidelines: Less than 420 minutes in last 7 days,17.999999999999999,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Region,Northland,9.8,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Region,Auckland combined,8.9999999999999997,percentage,% of young people,
