Year,Training type,Occupation,Value,Value Unit,Value Label,Null Reason
2012,Apprentices,Food & Related Product Manufacturing Professionals,350,number,Number of people,
2013,Apprentices,Food & Related Product Manufacturing Professionals,335,number,Number of people,
2014,Apprentices,Food & Related Product Manufacturing Professionals,370,number,Number of people,
2015,Apprentices,Food & Related Product Manufacturing Professionals,345,number,Number of people,
2016,Apprentices,Food & Related Product Manufacturing Professionals,360,number,Number of people,
2017,Apprentices,Food & Related Product Manufacturing Professionals,505,number,Number of people,
2018,Apprentices,Food & Related Product Manufacturing Professionals,610,number,Number of people,
2009,Apprentices,"Forestry, Logging & Log Distribution Workers",1895,number,Number of people,
2010,Apprentices,"Forestry, Logging & Log Distribution Workers",1075,number,Number of people,
2011,Apprentices,"Forestry, Logging & Log Distribution Workers",620,number,Number of people,
2012,Apprentices,"Forestry, Logging & Log Distribution Workers",350,number,Number of people,
2013,Apprentices,"Forestry, Logging & Log Distribution Workers",310,number,Number of people,
2014,Apprentices,"Forestry, Logging & Log Distribution Workers",385,number,Number of people,
2015,Apprentices,"Forestry, Logging & Log Distribution Workers",435,number,Number of people,
2012,Apprentices,Journalists,50,number,Number of people,
2016,Apprentices,"Forestry, Logging & Log Distribution Workers",405,number,Number of people,
2017,Apprentices,"Forestry, Logging & Log Distribution Workers",315,number,Number of people,
2018,Apprentices,"Forestry, Logging & Log Distribution Workers",310,number,Number of people,
2009,Apprentices,Furniture Manufacturing & Finishing Professionals,315,number,Number of people,
2010,Apprentices,Furniture Manufacturing & Finishing Professionals,210,number,Number of people,
2011,Apprentices,Furniture Manufacturing & Finishing Professionals,150,number,Number of people,
2012,Apprentices,Furniture Manufacturing & Finishing Professionals,115,number,Number of people,
2013,Apprentices,Furniture Manufacturing & Finishing Professionals,110,number,Number of people,
2014,Apprentices,Furniture Manufacturing & Finishing Professionals,160,number,Number of people,
2015,Apprentices,Furniture Manufacturing & Finishing Professionals,165,number,Number of people,
2016,Apprentices,Furniture Manufacturing & Finishing Professionals,175,number,Number of people,
2017,Apprentices,Furniture Manufacturing & Finishing Professionals,190,number,Number of people,
2018,Apprentices,Furniture Manufacturing & Finishing Professionals,160,number,Number of people,
2009,Apprentices,Gas Network Operations Professionals,30,number,Number of people,
2010,Apprentices,Gas Network Operations Professionals,30,number,Number of people,
2011,Apprentices,Gas Network Operations Professionals,25,number,Number of people,
2012,Apprentices,Gas Network Operations Professionals,20,number,Number of people,
2013,Apprentices,Gas Network Operations Professionals,5,number,Number of people,
2014,Apprentices,Gas Network Operations Professionals,0,number,Number of people,
2015,Apprentices,Gas Network Operations Professionals,0,number,Number of people,
2016,Apprentices,Gas Network Operations Professionals,0,number,Number of people,
2017,Apprentices,Gas Network Operations Professionals,0,number,Number of people,
2018,Apprentices,Gas Network Operations Professionals,0,number,Number of people,
2009,Apprentices,"Hairdressers, Barbers & Beauty Therapists",1920,number,Number of people,
2010,Apprentices,"Hairdressers, Barbers & Beauty Therapists",1950,number,Number of people,
2011,Apprentices,"Hairdressers, Barbers & Beauty Therapists",1815,number,Number of people,
2012,Apprentices,"Hairdressers, Barbers & Beauty Therapists",1700,number,Number of people,
2013,Apprentices,"Hairdressers, Barbers & Beauty Therapists",1595,number,Number of people,
2014,Apprentices,"Hairdressers, Barbers & Beauty Therapists",1585,number,Number of people,
2015,Apprentices,"Hairdressers, Barbers & Beauty Therapists",1425,number,Number of people,
2016,Apprentices,"Hairdressers, Barbers & Beauty Therapists",1425,number,Number of people,
2017,Apprentices,"Hairdressers, Barbers & Beauty Therapists",1420,number,Number of people,
2018,Apprentices,"Hairdressers, Barbers & Beauty Therapists",1540,number,Number of people,
2009,Apprentices,"Heating, Refrigeration & Air Conditioning Professionals",660,number,Number of people,
2010,Apprentices,"Heating, Refrigeration & Air Conditioning Professionals",605,number,Number of people,
